station_name,latitude,longitude,total_bikes,station,distance,review_count,rating,popularity,price
de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,78,0,431.7014925373134,258.30232558139534,8.368731343283583,0.9620989010989012,2.014925373134328
de la Commune / King,45.49750375338383,-73.55284452438353,62,1,570.3888888888889,382.6111111111111,8.42904761904762,0.9553888888888888,2.0793650793650795
Jeanne-Mance / René-Lévesque,45.5063713381299,-73.5642009973526,55,2,586.8828125,291.7567567567568,8.464765625,0.9733956043956044,1.8515625
Métro Viau (Viau / Pierre-de-Coubertin),45.563084167155345,-73.5481941328544,50,3,579.1298701298701,31.15,7.723246753246753,0.8867894736842106,1.2857142857142858
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,48,4,363.1194029850746,282.625,8.10865671641791,0.9752765957446808,1.8805970149253732
Peel / Notre-Dame,45.49544692088696,-73.56329441070557,47,5,777.0955882352941,465.1818181818182,8.238455882352941,0.9667087378640776,1.9779411764705883
de la Commune / Berri,45.51086,-73.54983,47,6,620.2457627118644,247.06666666666666,8.084745762711865,0.9683295454545454,1.7372881355932204
Drummond / de Maisonneuve,45.499515390738885,-73.57602953910826,46,7,346.02272727272725,293.0731707317073,8.100984848484847,0.9751648351648351,1.9318181818181819
Ste-Catherine / Sanguinet,45.512936177874096,-73.56124520301817,46,8,654.4769230769231,201.6,8.328692307692307,0.9713578947368421,1.7769230769230768
McTavish / Sherbrooke,45.50277615861811,-73.57589408755302,45,9,543.439393939394,271.1,8.229166666666666,0.9758804347826086,1.9015151515151516
University / Prince-Arthur,45.5074794530521,-73.57864737510681,45,10,823.8372093023256,282.5483870967742,8.117286821705427,0.9701020408163264,1.875968992248062
St-Urbain / de la Gauchetière,45.50707812811467,-73.56139540672302,43,11,579.1384615384616,315.07894736842104,8.489769230769232,0.97425,1.853846153846154
Parc Père-Marquette (Chambord / Rosemont),45.53708783301333,-73.59321847558022,41,12,731.6576576576576,61.285714285714285,8.25891891891892,0.8916265060240963,1.6126126126126126
St-Denis / Ste-Catherine,45.51372291221464,-73.5603104531765,41,13,674.203007518797,200.35135135135135,8.290300751879698,0.9702395833333334,1.7593984962406015
Queen / Wellington,45.49760527699099,-73.55534970760345,39,14,544.2213740458016,342.275,8.297404580152673,0.9624835164835165,1.8473282442748091
Aylmer / Ste-Catherine,45.50434678685089,-73.56894850730896,39,15,545.2978723404256,237.92857142857142,8.199007092198581,0.9766262626262625,1.801418439716312
Métro Mont-Royal (Berri / Mont-Royal),45.52501371261418,-73.58220934867859,39,16,525.527397260274,331.24242424242425,8.548082191780821,0.9421327433628318,1.5616438356164384
Stanley / René-Lévesque,45.49790394592446,-73.57077571808077,38,17,470.5968992248062,297.44736842105266,8.172790697674419,0.9757912087912087,1.8604651162790697
Parc Baldwin (Fullum / Sherbrooke),45.53407048533949,-73.56265068054199,38,18,770.3333333333334,34.857142857142854,7.950380952380952,0.8083506493506494,1.4857142857142858
Milton / University,45.50651983995355,-73.57640504837036,38,19,746.8805970149253,314.3243243243243,8.245671641791045,0.9738144329896906,1.8432835820895523
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.575707,-73.561562,38,20,810.1463414634146,4.875,7.88170731707317,0.80848,1.5853658536585367
Gary-Carter / St-Laurent,45.53613488953656,-73.62258464097977,37,21,647.0375939849624,82.38461538461539,8.369849624060151,0.9302872340425532,1.5789473684210527
Berri / Cherrier,45.519266156911335,-73.5692971944809,37,22,645.9416058394161,323.1470588235294,8.304014598540146,0.9543980582524272,1.802919708029197
Parc Jeanne-Mance (monument à sir George-Étienne Cartier),45.5148664330228,-73.58475860237377,36,23,686.0314960629921,494.125,8.150472440944881,0.9455922330097087,1.6062992125984252
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,36,24,592.3880597014926,309.2307692307692,8.21097014925373,0.976378947368421,1.7611940298507462
de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,36,25,377.32575757575756,267.4864864864865,8.44598484848485,0.9606631578947368,1.9848484848484849
Union / Ste-Catherine,45.504027213143104,-73.56970220804214,35,26,531.5704225352113,272.24444444444447,8.145422535211269,0.977659793814433,1.7605633802816902
University / des Pins,45.50817464963893,-73.58002064942411,35,27,810.7565217391304,556.8125,7.8690434782608705,0.9602424242424241,1.7217391304347827
Dorion / Ontario,45.526991277453526,-73.55821162462234,35,28,678.4727272727273,110.85185185185185,7.691545454545455,0.9183614457831326,1.7818181818181817
de la Montagne / Ste-Catherine,45.49774064151583,-73.57484936714172,35,29,345.57462686567163,284.45238095238096,8.146492537313433,0.9748586956521739,1.955223880597015
Larivière / de Lorimier,45.5291345371163,-73.55923354625702,35,30,686.0795454545455,54.48,7.747272727272727,0.830047619047619,1.4545454545454546
de Kent / de la Côte-des-Neiges,45.50144933057703,-73.63305062055588,34,31,558.5714285714286,45.03333333333333,7.709387755102041,0.8807647058823529,1.510204081632653
Parc Jean-Drapeau (Chemin Macdonald),45.51252079509179,-73.53200376033783,34,32,577.5641025641025,9.909090909090908,7.020256410256411,0.9285882352941176,1.7179487179487178
Cypress / Peel,45.49933033434456,-73.57175691987322,34,33,389.4651162790698,288.7368421052632,8.135116279069768,0.97610989010989,1.8449612403100775
Métro Atwater (Atwater / Ste-Catherine),45.48952522221574,-73.5844581949641,34,34,589.4905660377359,208.0,7.493301886792453,0.9662022471910113,1.4622641509433962
du Mont-Royal / Clark,45.51941,-73.58685,34,35,569.1447368421053,230.47058823529412,8.454736842105262,0.9438644067796611,1.605263157894737
Mackay / de Maisonneuve,45.49682986230046,-73.57913017272949,34,36,415.5072463768116,243.1904761904762,8.114420289855072,0.9740624999999999,1.8768115942028984
Léa-Roback / Sir-Georges-Etienne-Cartier,45.471703687608354,-73.58268946409225,34,37,664.7087378640776,97.44444444444444,8.16621359223301,0.7879402985074627,1.6796116504854368
Métro Longueuil - Université de Sherbrooke,45.52331869398737,-73.52012693881989,34,38,459.11578947368423,1.7142857142857142,7.261578947368421,0.8667027027027027,1.2842105263157895
Métro Lionel-Groulx (St-Jacques / Atwater),45.48295816149219,-73.57975836854166,33,39,519.1652173913044,192.54545454545453,7.934695652173913,0.9337682926829268,1.7478260869565216
Parc de Dieppe,45.501863463435576,-73.5439610481262,33,40,898.1612903225806,436.1111111111111,8.304274193548387,0.9524318181818181,2.153225806451613
Viger / Chenneville,45.50531166520915,-73.56089115142822,33,41,536.808,389.5135135135135,8.536880000000002,0.9741022727272728,1.816
Prince-Arthur / du Parc,45.51044465753362,-73.5755842924118,33,42,673.9153846153846,347.97297297297297,8.204461538461539,0.9685161290322581,1.7461538461538462
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.51689731423111,-73.58910799026489,33,43,646.7655172413793,164.5142857142857,8.514896551724139,0.9426727272727273,1.6413793103448275
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),45.50398168549117,-73.62283945083618,33,44,740.8807339449542,39.15151515151515,7.604220183486238,0.8523552631578947,1.4495412844036697
Robert-Bourassa / René-Lévesque,45.502182909901194,-73.56825381517409,32,45,558.1605839416059,399.35714285714283,8.329270072992701,0.9754842105263157,1.8613138686131387
Papineau / Émile-Journault,45.55988367688166,-73.63356828689575,32,46,759.5,2.0,7.912857142857143,0.9226666666666666,1.2142857142857142
des Bassins / du Séminaire,45.49047561880464,-73.56022328138351,32,47,609.0176991150443,57.44,8.174159292035398,0.9347386363636364,1.7433628318584071
Place du Commerce,45.46714,-73.54259,32,48,330.15714285714284,9.655172413793103,6.994142857142857,0.8505365853658536,1.5714285714285714
St-Urbain / René-Lévesque,45.50783754150584,-73.56313616037369,32,49,578.8692307692307,252.64864864864865,8.424000000000001,0.9739032258064515,1.7692307692307692
Ste-Catherine / Union,45.50373771539475,-73.56948494911194,32,50,523.2112676056338,272.24444444444447,8.145422535211269,0.977659793814433,1.7605633802816902
Mansfield / Ste-Catherine,45.50140664031126,-73.57165485620499,31,51,461.57575757575756,297.10526315789474,8.236666666666666,0.9770212765957447,1.7954545454545454
Parc du Pélican (1ère avenue / Masson),45.5451997,-73.57645065,31,52,611.9568965517242,22.70967741935484,7.844137931034482,0.868564705882353,1.5258620689655173
Ste-Catherine / St-Laurent,45.50991130818593,-73.56380604207516,31,53,571.203125,257.7741935483871,8.364140625,0.973298969072165,1.6796875
Clark / Rachel,45.51736881196649,-73.58209669589996,31,54,536.1417910447761,478.93333333333334,8.407611940298507,0.9445576923076923,1.7388059701492538
Casino de Montréal,45.5063732,-73.52457672,31,55,553.3333333333334,7.708333333333333,7.207111111111111,0.944952380952381,1.8
Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.495537539518104,-73.6222583055769,31,56,378.8252427184466,40.05555555555556,7.76009708737864,0.8478059701492537,1.4757281553398058
Métro Papineau (Dorion / De Maisonneuve),45.5238445756922,-73.55236601831166,31,57,572.5867768595041,110.75862068965517,7.764462809917355,0.9254130434782609,1.7685950413223142
St-Dominique / Jean-Talon,45.53520398241678,-73.6175217570053,31,58,485.6808510638298,87.075,8.283049645390072,0.9389900990099009,1.6666666666666667
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),45.554373399819674,-73.55137467384337,31,59,760.5979381443299,50.888888888888886,7.895154639175258,0.8539714285714286,1.5154639175257731
