id,name,rating,price,review_count,s_lat,s_lon,p_lat,p_lon,category_alias,distance,scaled_rating,station
vRJPrk-VH75uxLiVVprBhA,Capucine,5.0,,4,45.617499783128075,-73.60601127147675,45.6196699281717,-73.6097039384337,italian,375,10.0,790
TyKGLi1V1PFRHYmHDjFUMQ,Restaurant Prima Luna,4.0,3.0,14,45.617499783128075,-73.60601127147675,45.617234,-73.594176,italian,921,7.75,790
TyKGLi1V1PFRHYmHDjFUMQ,Restaurant Prima Luna,4.0,3.0,14,45.617499783128075,-73.60601127147675,45.617234,-73.594176,sushi,921,7.75,790
DOVOYnq3y-milXVI03GIrg,Boulangerie Adriatica,4.0,,1,45.617499783128075,-73.60601127147675,45.61521,-73.60971,italian,366,7.75,790
DOVOYnq3y-milXVI03GIrg,Boulangerie Adriatica,4.0,,1,45.617499783128075,-73.60601127147675,45.61521,-73.60971,pizza,366,7.75,790
TUrUjIieooQv27hE8ulk0g,Boulangerie Amaretti,4.0,1.0,3,45.617499783128075,-73.60601127147675,45.62465,-73.5993699,bakeries,948,7.75,790
TUrUjIieooQv27hE8ulk0g,Boulangerie Amaretti,4.0,1.0,3,45.617499783128075,-73.60601127147675,45.62465,-73.5993699,cakeshop,948,7.75,790
2P1Rvd4IboY8z7oRoT8b8g,Dagostino Pizza,4.5,,3,45.617499783128075,-73.60601127147675,45.62479,-73.59907,pizza,976,8.875,790
qXByAmujOzT_9lm1_KGsiw,Shekz Restaurant,1.5,,2,45.617499783128075,-73.60601127147675,45.62356,-73.6015,sushi,749,2.125,790
qXByAmujOzT_9lm1_KGsiw,Shekz Restaurant,1.5,,2,45.617499783128075,-73.60601127147675,45.62356,-73.6015,italian,749,2.125,790
qXByAmujOzT_9lm1_KGsiw,Shekz Restaurant,1.5,,2,45.617499783128075,-73.60601127147675,45.62356,-73.6015,thai,749,2.125,790
BpnevNTdiTqQpLD21cRg1A,Grillades Sizzle,3.5,2.0,3,45.617499783128075,-73.60601127147675,45.62398,-73.60103,portuguese,809,6.625,790
tqSc0fajx8_yR91r6SGwmg,Pizzeria Etc (La),4.5,2.0,2,45.617499783128075,-73.60601127147675,45.6172299,-73.5938069,pizza,956,8.875,790
8NHV3DBvq9Q88ZtzdR6W2w,Le Saint-Bock,4.0,2.0,209,45.516926210319546,-73.56425732374191,45.5158203,-73.564641,brasseries,127,7.75,793
lHazo7qKEcSc62PMUW3oaw,L'Amère à Boire,4.0,2.0,68,45.516926210319546,-73.56425732374191,45.51642,-73.566042,tapas,150,7.75,793
lHazo7qKEcSc62PMUW3oaw,L'Amère à Boire,4.0,2.0,68,45.516926210319546,-73.56425732374191,45.51642,-73.566042,brewpubs,150,7.75,793
um_o0pxQ3DlRI9EfCzw0hw,Bouillon Bilk,4.5,3.0,496,45.516926210319546,-73.56425732374191,45.51104,-73.5658,modern_european,663,8.875,793
RO32EAy8IfnWAm04vCPmzA,Le 4e Mur,4.5,2.0,98,45.516926210319546,-73.56425732374191,45.5161779,-73.5657819,speakeasies,145,8.875,793
mm2wLW24ESxNIEL2bjseaQ,Poutineville,4.5,2.0,600,45.516926210319546,-73.56425732374191,45.523205,-73.5613,poutineries,735,8.875,793
bhpsxX-g9yWx4XsSFsWnKA,Le Mousso,4.5,4.0,54,45.516926210319546,-73.56425732374191,45.52006,-73.56322,newcanadian,352,8.875,793
s4fNTcuW6DGfiAagPMlQgw,Pizzeria Dei Compari,4.0,2.0,90,45.516926210319546,-73.56425732374191,45.515,-73.56375,pizza,220,7.75,793
